,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
0,female,group B,bachelor's degree,standard,none,0.6164383561643836,0.6056338028169014,0.6438356164383562
1,female,group C,some college,standard,completed,0.5753424657534246,0.8591549295774648,0.8356164383561644
2,female,group B,master's degree,standard,none,0.863013698630137,0.9295774647887324,0.9041095890410958
3,male,group A,associate's degree,free/reduced,none,0.273972602739726,0.39436619718309857,0.2328767123287671
4,male,group C,some college,standard,none,0.6712328767123288,0.6901408450704225,0.6575342465753424
5,female,group B,associate's degree,standard,none,0.6027397260273972,0.7605633802816901,0.6986301369863014
6,female,group B,some college,standard,completed,0.8356164383561644,0.9295774647887324,0.8904109589041096
7,male,group B,some college,free/reduced,none,0.1780821917808219,0.19718309859154928,0.1643835616438356
8,male,group D,high school,free/reduced,completed,0.5068493150684932,0.49295774647887325,0.547945205479452
9,female,group B,high school,free/reduced,none,0.1506849315068493,0.43661971830985913,0.3150684931506849
10,male,group C,associate's degree,standard,none,0.4246575342465753,0.352112676056338,0.3424657534246575
11,male,group D,associate's degree,standard,none,0.1780821917808219,0.323943661971831,0.2191780821917808
12,female,group B,high school,standard,none,0.5205479452054794,0.7323943661971831,0.6301369863013698
13,male,group A,some college,standard,completed,0.6986301369863014,0.6056338028169014,0.589041095890411
14,female,group A,master's degree,standard,none,0.3150684931506849,0.3380281690140845,0.4246575342465753
15,female,group C,some high school,standard,none,0.5753424657534246,0.647887323943662,0.6986301369863014
16,male,group C,high school,standard,none,0.8356164383561644,0.8450704225352113,0.8082191780821918
32,female,group E,master's degree,free/reduced,none,0.3972602739726027,0.07042253521126761,0.5205479452054794
39,male,group B,associate's degree,free/reduced,none,0.410958904109589,0.38028169014084506,0.410958904109589
40,male,group C,associate's degree,free/reduced,none,0.3835616438356164,0.4507042253521127,0.3698630136986301
41,female,group C,associate's degree,standard,none,0.4246575342465753,0.6197183098591549,0.5616438356164384
42,female,group B,associate's degree,standard,none,0.3561643835616438,0.4084507042253521,0.5205479452054794
43,male,group B,some college,free/reduced,completed,0.4383561643835616,0.5070422535211268,0.5342465753424658
44,female,group E,associate's degree,free/reduced,none,0.3150684931506849,0.38028169014084506,0.3698630136986301
45,male,group B,associate's degree,standard,none,0.5205479452054794,0.352112676056338,0.410958904109589
46,female,group A,associate's degree,standard,completed,0.3835616438356164,0.5070422535211268,0.4794520547945205
47,female,group C,high school,standard,none,0.5342465753424658,0.5915492957746479,0.6712328767123288
48,female,group D,associate's degree,free/reduced,completed,0.410958904109589,0.6338028169014085,0.6712328767123288
49,male,group C,high school,standard,completed,0.7534246575342466,0.7746478873239436,0.7534246575342466
50,male,group E,some college,standard,none,0.3561643835616438,0.36619718309859156,0.2876712328767123
51,male,group E,associate's degree,free/reduced,completed,0.684931506849315,0.5633802816901409,0.5616438356164384
